date,n_bas,label,median_err,share_extreme
2026-03-08,38,,4.627185397394356,0.05263157894736842
2024-05-12,43,,4.624153038219358,0.0
2018-06-08,42,,4.624144487715786,0.023809523809523808
2022-01-29,42,,4.6236184323765555,0.023809523809523808
2016-05-12,43,,4.6187068547953105,0.0
2025-04-05,43,,4.618065003219172,0.046511627906976744
2020-12-06,43,,4.61751355935063,0.0
2020-11-04,43,,4.608108593242019,0.0
2026-05-19,42,,4.606567995368724,0.047619047619047616
2018-05-27,44,,4.605546979855378,0.045454545454545456
2017-04-17,44,,4.603873387945505,0.0
2021-05-27,43,,4.602810883359278,0.0
2017-12-10,43,,4.602683808521429,0.023255813953488372
2026-05-16,42,,4.602621217165904,0.0
2020-05-05,43,,4.598252435083979,0.046511627906976744
2025-01-22,43,,4.597423123853823,0.0
2025-11-09,43,,4.597407826518006,0.0
2018-05-26,43,,4.597230050284585,0.06976744186046512
2019-10-17,43,,4.596466427214682,0.023255813953488372
2026-01-18,43,,4.594411398889141,0.0
2026-05-31,42,,4.594165231171123,0.0
2015-11-08,44,,4.593982036025528,0.0
2026-03-11,42,,4.593945097330899,0.09523809523809523
2022-01-02,43,,4.593702677689817,0.023255813953488372
2019-06-06,44,,4.590150811356619,0.0
2021-11-05,43,,4.5888583874497675,0.046511627906976744
2024-05-13,43,,4.586547635182792,0.023255813953488372
2019-10-14,43,Columbus Day,4.585408485129438,0.0
2024-07-14,43,,4.582227210062411,0.0
2019-10-28,44,,4.581416279246035,0.022727272727272728
2023-07-23,43,,4.5787236297137355,0.0
2024-01-21,43,,4.577352618354158,0.06976744186046512
2026-06-24,42,,4.576859464368364,0.0
2024-06-20,43,,4.576189254024332,0.0
2021-07-18,44,,4.5740092336684395,0.0
2024-11-29,43,Day after Thanksgiving,4.573276881512658,0.0
2022-03-20,43,,4.571712088529175,0.0
2026-01-01,43,New Year's Day,4.571695802695086,0.09302325581395349
2016-06-27,42,,4.568512304279057,0.023809523809523808
2022-02-06,41,,4.565622465931208,0.024390243902439025
2015-10-18,44,,4.562922089710355,0.0
2021-06-07,44,,4.561388509858629,0.022727272727272728
2024-06-02,42,,4.558533461307778,0.0
2021-03-28,44,,4.557372826396016,0.0
2022-10-01,43,,4.556725854784144,0.0
2024-03-07,42,,4.554581805124513,0.023809523809523808
2025-05-29,43,,4.554263439006338,0.023255813953488372
2026-06-18,42,,4.553889149304464,0.0
2025-05-28,43,,4.550972358807283,0.046511627906976744
2017-05-11,44,,4.54769554091444,0.0
2017-06-02,43,,4.544403049031129,0.0
2024-03-08,43,,4.543906688322736,0.0
2020-04-29,43,,4.539754473129537,0.06976744186046512
2017-07-05,44,,4.538018962097649,0.022727272727272728
2019-10-07,43,,4.537791436295199,0.0
2016-09-05,44,Labor Day,4.537144743625414,0.0
2023-05-07,43,,4.536354177199129,0.023255813953488372
2023-10-07,43,,4.536020842824507,0.0
2018-06-06,42,,4.534306329903693,0.0
2016-06-17,44,,4.533378581047675,0.0
2025-05-02,43,,4.533140357514498,0.0
2021-05-26,44,,4.532872746129366,0.022727272727272728
2016-10-12,44,,4.531921344317713,0.0
2022-12-23,43,,4.530607780329509,0.046511627906976744
2022-11-10,43,,4.529857707471541,0.023255813953488372
2021-06-16,44,,4.5282104466760105,0.0
2022-10-08,43,,4.526098132238241,0.0
2025-10-19,42,,4.525824822744254,0.0
2026-01-25,41,,4.523940084806961,0.0
2023-11-13,43,,4.523502049739448,0.0
2025-10-14,41,,4.520844015772198,0.0
2025-11-04,43,,4.51932918880882,0.0
2023-03-19,43,,4.5180825094265655,0.0
2023-07-16,43,,4.5143103619325435,0.023255813953488372
2025-12-17,43,,4.514247119242027,0.023255813953488372
2017-06-11,44,,4.514104887993485,0.09090909090909091
2017-10-01,43,,4.51231843144742,0.0
2026-06-12,42,,4.504264368706227,0.0
2019-03-11,44,,4.503081488362298,0.0
2022-04-18,43,,4.50123217195286,0.023255813953488372
2015-10-17,44,,4.500874746179999,0.0
2021-10-20,43,,4.500607220465417,0.0
2022-04-06,43,,4.499374422184191,0.0
2020-12-23,43,,4.498328417843731,0.0
2020-06-10,43,,4.498278289263368,0.023255813953488372
2016-05-13,43,,4.498078451128221,0.0
2025-04-23,43,,4.498006736697115,0.0
2020-03-15,43,,4.49787274348825,0.11627906976744186
2020-12-09,43,,4.497634978636402,0.06976744186046512
2025-07-07,43,,4.4975395964150335,0.0
2020-05-31,43,,4.4973802351499215,0.0
2020-12-01,42,,4.495274520130104,0.047619047619047616
2018-04-23,44,,4.494986391946686,0.0
2023-07-01,43,,4.494391826862321,0.023255813953488372
2016-11-12,44,,4.494082013887136,0.0
2021-07-02,44,,4.491559575108532,0.0
2017-05-05,44,,4.491239011908684,0.0
2025-10-16,43,,4.488412199185351,0.0
2015-11-20,44,,4.486935506142158,0.022727272727272728
2021-05-23,44,,4.485096056138454,0.06818181818181818
2025-11-29,43,,4.484963404443231,0.0
2026-05-09,42,,4.484963033121122,0.023809523809523808
2022-07-04,43,Independence Day,4.482795648841146,0.0
2019-05-13,43,,4.4823779756782915,0.0
2019-03-03,44,,4.48164322741779,0.022727272727272728
2022-10-16,43,,4.481601823961218,0.0
2021-11-15,43,,4.480153197309634,0.0
2023-05-20,43,,4.479607400683291,0.09302325581395349
2016-06-09,42,,4.475794991770867,0.0
2024-11-09,43,,4.475386186706832,0.06976744186046512
2020-12-04,43,,4.471443934062209,0.023255813953488372
2018-04-15,43,,4.467471261347099,0.0
2021-10-15,43,,4.467393276514683,0.023255813953488372
2017-06-05,43,,4.463194489402741,0.0
2023-07-03,43,,4.46299896790308,0.0
2022-06-20,43,Juneteenth (observed),4.461952568108226,0.023255813953488372
2024-01-14,43,,4.458464749765434,0.0
2020-06-21,43,,4.457330855570851,0.0
2023-02-24,43,,4.456555947157659,0.0
2015-12-25,43,Christmas Day,4.455152281604933,0.0
2020-01-16,43,,4.4548068300687245,0.023255813953488372
2017-10-16,44,,4.4547468112862685,0.0
2021-05-16,44,,4.454493176197021,0.022727272727272728
2016-11-05,43,,4.454454771182107,0.0
2023-03-15,43,,4.453603575821101,0.0
2026-04-16,41,,4.452366383022483,0.024390243902439025
2019-10-21,44,,4.452245887258822,0.0
2019-11-04,44,,4.451508417181083,0.045454545454545456
2021-10-26,42,,4.448009286555855,0.0
2016-10-11,44,,4.447839871592123,0.0
2022-10-25,43,,4.447764505110765,0.023255813953488372
2023-10-11,42,,4.447557484844845,0.0
2018-12-25,44,Christmas Day,4.447348291641364,0.0
2016-03-19,44,,4.447053627940544,0.022727272727272728
2023-01-28,43,,4.4465172658926,0.0
2023-12-16,43,,4.446253683615526,0.0
2018-07-07,37,,4.4462352607054445,0.0
2022-07-11,43,,4.445487352253885,0.046511627906976744
2019-10-06,44,,4.4442306009234125,0.022727272727272728
2022-09-09,42,,4.438500853768409,0.023809523809523808
2015-11-24,43,,4.437133210263433,0.0
2024-06-15,43,,4.436312012489551,0.0
2017-10-27,44,,4.434786380409047,0.0
2017-11-24,43,Day after Thanksgiving,4.434131411729982,0.0
