ba,days,G3_w8_mean,G3Tprev_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
FMPP,3389,4.476795027524957,4.104707825814401,0.3720872017105551,8.311463880361469,0.3166946390737516,0.4284090296055613,0.6434108527131783,4.394027167854616e-25,True,0.3000205530280706,0.45341484823652944,0.4720867877604114,0.5566938646679436,0.4290555101950196,0.17284619513072436,0.19164639074478504
WACM,3299,3.2460815964778194,2.978799218579398,0.26728237789842163,8.23400059285133,0.23907127332167966,0.2967364356363313,0.6095965103598692,5.3960492698589306e-21,True,0.30436526489056553,0.27912289863062073,0.2912581327319073,0.3240835625647216,0.3455350134311123,0.14423134668784016,0.16617010716412203
TPWR,3382,3.1734818125557216,2.9201609363497636,0.25332087620595845,7.982427225632965,0.22341187822942166,0.2833414791070088,0.6130334486735871,4.109357036985135e-21,True,0.30884914444694633,0.3176961148893411,0.3180001646307294,0.31189072006401297,0.2916108951774643,0.09369937394157031,0.10491911054168375
NEVP,3307,3.638704342203418,3.3520588033708325,0.2866455388325857,7.877681500745604,0.2567024848285977,0.31864659546656604,0.7488731487443657,2.8263297557486493e-89,True,0.32246988814584676,0.3332557042232435,0.32630919729270397,0.31444312992108203,0.34480244080407024,0.1657772242989815,0.17630051038829161
PGE,3352,3.28750511265441,3.0504262902987747,0.23707882235563535,7.211511898279976,0.20847773020370086,0.268726275584288,0.6100917431192661,3.3146706716494426e-20,True,0.2791079399456874,0.302298789990429,0.29005390441155393,0.28138198524028657,0.25277266875303533,0.10533600823917162,0.12530489850416057
PSEI,2856,3.2468182813645337,3.015183458610671,0.23163482275386296,7.1342096378893824,0.20050290154232234,0.2647858479478595,0.5742160278745645,2.0664112283182263e-08,True,0.2765759212438005,0.2780910060206704,0.29732908760162186,0.3162924883386956,0.2725065374373513,0.0675648789376559,0.08123139253932413
BANC,3272,4.712896995342761,4.378432676859072,0.334464318483689,7.0967882135808065,0.29475151493813134,0.373433170400024,0.6590314136125655,6.194651493465542e-36,True,0.32798375379566624,0.4233285817365055,0.43981107767561994,0.4055286502872816,0.35074828369657285,0.1431309133329923,0.21446744836408016
TEC,3452,5.0052352298087355,4.687046897041679,0.31818833276705744,6.35711046849673,0.26452650374688,0.3684579940542182,0.6282843894899537,2.196414566813837e-20,True,0.28809116953858177,0.36808513144228605,0.41752211655007837,0.5114565908314597,0.3360333829338749,0.15417820205131344,0.13030526289114927
TEPC,3285,6.740437615819163,6.330507970034203,0.4099296457849587,6.081647352137686,0.3548396823154208,0.46539548106039147,0.6900121802679658,1.192941650354764e-54,True,0.5040492353681816,0.4313031504566197,0.42871365513468335,0.5410348721885261,0.4605025658889176,0.2797021901945819,0.1935785175661423
AZPS,3390,5.169207352155541,4.855434449235172,0.31377290292036975,6.070039012645286,0.2751927392269487,0.3530431742700877,0.7072829131652661,9.166557939021086e-57,True,0.3200991306074556,0.33921183478270167,0.3936111143499689,0.43167849083544313,0.3449614695732734,0.16685747839863876,0.17042746882278229
SCL,3346,2.517154254553886,2.3715996341864303,0.14555462036745545,5.782506976047522,0.12801805697926386,0.16381932584564787,0.6100702576112412,8.207267014009802e-20,True,0.1715521510285581,0.18559981800232,0.1881457576060785,0.22690515412616574,0.1793457453396282,0.022323569999314296,0.02153138033359353
NYIS,3374,2.6270365491266974,2.525396997245991,0.10163955188070681,3.8689812638691574,0.08388575746704113,0.12024258418308832,0.5812417437252312,2.78892619611701e-10,False,0.10102561441520767,0.1328085942024092,0.14351862270824964,0.11895629668036364,0.12480921179523398,0.033898894290510996,0.04278738110309771
WALC,3285,5.202203077040811,5.043769311854496,0.1584337651863157,3.045512888290362,0.1252113203346438,0.19110610429894925,0.6451149425287356,1.4564377964925348e-27,False,0.12640214775618583,0.21246149865436353,0.19969241907155252,0.24037759376780554,0.23575461191071345,0.0334335225384374,0.03589135598539924
ISNE,3375,3.7551619424506653,3.673984972400731,0.08117697004993461,2.1617435224899384,0.05907129062208042,0.10265291950910682,0.5398126463700235,0.001082726309217537,False,0.10494743624886008,0.10497327752663647,0.1556447464990009,0.10584198394313118,0.10033333918085927,-0.015448179844077136,-0.005500411754976495
LDWP,3343,4.016009546078476,3.941496235428767,0.07451331064970933,1.8554067114324853,0.05489255405283588,0.09490859633482358,0.5397350993377483,0.0007767329768764443,False,0.08544107745855956,0.1443616456008512,0.08642925594195353,0.09191853275166802,0.11611243296761814,-0.03325109931632496,0.010853300251107109
CISO,3363,3.282575940033035,3.245939151750746,0.036636788282289084,1.116098727084449,0.023769501429315366,0.049872666624628845,0.5556167400881057,2.3432127675063937e-06,False,0.025570461977331267,0.05584276037008326,0.04693866765328382,0.04821166748678657,0.06967609060857895,-0.020619643509440108,0.021876326932172667
FPL,3419,3.7493384719395704,3.7215793144169216,0.027759157522649423,0.7403748082602244,0.01677536550927074,0.04250249288730387,0.6035634743875279,1.3224575569379352e-05,False,0.02541634061334412,0.02478566700257495,0.027425476310811523,0.014986319770951377,0.0746325382409701,0.011032385164777083,0.015963125759614945
