ba,days,G3_w8_mean,G3R_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
AVA,3612,3.4095484111098786,3.0295505045178883,0.3799979065919908,11.14510957972565,0.34461147450388296,0.41764475060564354,0.601867865790384,5.106818245995895e-28,True,0.3682643981256065,0.5031599189449427,0.4998018628891738,0.49579341902864893,0.4916633033222552,0.13132408572133195,0.11253720195889359
PJM,3706,3.16078732101593,2.8118066399346366,0.34898068108129304,11.04094156417727,0.317102352129952,0.3784764412986076,0.645877829987185,9.432320445702221e-46,True,0.47292303032340194,0.427133773290186,0.5182860026037052,0.46207443689712185,0.3514947800578757,0.12142853290956332,0.0613028265636991
NWMT,3667,2.6205968803449466,2.3464390747950747,0.2741578055498728,10.461655037679266,0.24938028595609602,0.2997447480587742,0.5914166085136078,1.1660481456238462e-22,True,0.2898832956052579,0.32188071585852446,0.3005303969242599,0.4060843133159869,0.4309646793153291,0.07716111618221178,0.06316328949533798
MISO,3725,2.655330405502352,2.38282687093447,0.2725035345678821,10.26250947916699,0.24801342467820328,0.29833256637341504,0.663768115942029,5.646070499518553e-51,True,0.317021433692306,0.360872840824039,0.36883990783005605,0.3309629334407214,0.3450200082450098,0.15372739015200523,0.02014668766611681
TEC,3728,4.9610767192341925,4.488450493947964,0.4726262252862281,9.526686484283681,0.4075779591268375,0.533649142872195,0.6108347153123272,3.616470352535492e-21,True,0.45898274839591263,0.5626695797441269,0.5793926766362301,0.7114537954496922,0.556506636375862,0.21886939345877315,0.19881698213749363
FMPP,3697,4.474605792244613,4.0614689903825045,0.4131368018621085,9.23292064248782,0.35652000981147863,0.46491745138783164,0.6186681844052362,2.0351135392790917e-23,True,0.38667656142526596,0.4488033713213956,0.5444740277295599,0.5914604190313488,0.5169428592441316,0.1841252266427117,0.20261808465837503
AZPS,3688,5.146274061352342,4.721156715236338,0.42511734611600416,8.260682214897267,0.38125724535383804,0.46835661834062137,0.661987041036717,8.331202419995864e-45,True,0.5571253058780893,0.5081934593307227,0.5255501597536572,0.5307887943669483,0.5057883677874372,0.2346240173850483,0.09458671548829442
SRP,3619,5.074458885432199,4.655746412983066,0.41871247244913307,8.251371858606966,0.3769000237968732,0.46130785834239285,0.6856772521062865,3.756200192652322e-49,True,0.525135554324413,0.4645514196944504,0.5551596403354776,0.5343438279242462,0.5001310524257863,0.21978782636773894,0.10450577107352958
SCL,3655,2.528840400223589,2.323942041147783,0.2048983590758055,8.10246305214395,0.18450395350163018,0.22692486470001022,0.5871033085752869,2.3886572973290594e-21,True,0.263123490483161,0.2983733847447846,0.2874884348725363,0.31200084873648176,0.19514197956184515,0.02062124760165322,0.025176690630775676
PGE,3678,3.3069761310498045,3.0462367217766793,0.26073940927312583,7.884526496124232,0.23370548204947747,0.2892952116671907,0.5862874951305025,2.222784494722509e-18,True,0.3021303221404114,0.3378811851235996,0.3334022596745749,0.35990754683971254,0.384874371075973,0.07305791557937473,0.018300121915312717
