ba,days,G1_w8_mean,G3_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
GCPD,3835,2.2583577585326537,2.2488686224700007,0.009489136062653319,0.42017860220777387,-0.003118879598110669,0.022003191912492556,0.5376792698826597,3.2762052674342715e-06,False,0.063598483954185,0.036168314815319416,0.02279670103900202,0.036752196718005455,0.002060858112896851,-0.02798350951383093,-0.06293207173471993
NEVP,3781,3.7056508749781987,3.694060163257622,0.011590711720576546,0.3127847741631823,-0.006498980457133195,0.029576572005248873,0.5535572599841312,4.8222473671429976e-11,False,0.0031674083126262795,0.01561381017259296,0.02579579547426208,0.07264013125291556,0.09039773873100614,-0.10333392400547879,-0.021498069265320618
SOCO,3771,4.5518385585303305,4.5442880319171275,0.007550526613203554,0.16587861182056995,-0.023210705395665852,0.03845511065239511,0.5476001060726597,5.408868813388637e-09,False,0.018601119347149125,0.013567303520971094,0.03832354501948555,0.06126983029377152,0.07384972668866818,-0.11305652185821471,-0.037801217125143165
FPC,3833,5.934734985666661,5.93309136712078,0.0016436185458809651,0.027694893703772254,-0.03781947930327229,0.03979324575547757,0.5473519436472737,4.877036641362758e-09,False,0.010904993032446441,0.023543852528776294,0.07989394950364134,0.08365146770148857,0.05898126398699898,-0.08579908270541581,-0.16125675853254032
AZPS,3826,5.219129537958209,5.234993672439368,-0.015864134481159524,-0.3039613093674195,-0.038249740808754304,0.006357179375666319,0.5133298484056456,0.10248602492039816,False,-0.019581653932394295,-0.0169513330924297,0.01061993577257186,0.04417856433049883,0.0804477862986316,-0.15758121718163087,-0.050121946750428706
SRP,3742,5.13510202517706,5.163829826605484,-0.02872780142842368,-0.5594397401954858,-0.051993614578100304,-0.0048817783327156535,0.5132317562149158,0.1090863898444784,False,-0.02780216643453706,-0.01004331622418103,0.009898669802695806,0.051252549840442335,0.05740735788351037,-0.19185331967658792,-0.08975506271458546
SCEG,3816,4.918124756226677,4.950738592517033,-0.032613836290355074,-0.6631356036477879,-0.059123376753625334,-0.004677810531402247,0.5162473794549266,0.04645176517367792,False,-0.005622337701641525,0.014697367881428095,0.0446208856254039,0.03874864351415906,0.055860616460866666,-0.12321985184912124,-0.2547670525565911
CPLW,3829,5.861052644166727,5.902044639041925,-0.040991994875198126,-0.6993964627837942,-0.07442458755195394,-0.007466496381447118,0.5356489945155393,1.0953639004038109e-05,False,-0.0068746176686322255,0.029111568149892915,0.03340970825746746,0.015374390030388688,0.03192749379798394,-0.14018757997290834,-0.24981064816415882
TVA,3804,4.977955415835199,5.014801550348677,-0.03684613451347925,-0.7401861092662523,-0.06930351246703606,-0.004478007211746734,0.5254994742376445,0.0017490739769477316,False,0.026346832135982795,-0.003752898363024355,0.00903727030383868,0.04085050075791744,0.0695669692027642,-0.16583025290951856,-0.22919910377305092
CPLE,3826,6.502568662155435,6.560700187358641,-0.058131525203207544,-0.8939778758743385,-0.10253212914522729,-0.016458948156536198,0.5303188708834292,0.0001872569849923979,False,-0.020450088103037785,0.04917125334211453,0.02353656016917101,0.02255649447705248,0.05181371031156623,-0.10453555869588657,-0.4325418198506939
WALC,3769,5.599627616637497,5.650908475012733,-0.05128085837523576,-0.9157905111916932,-0.07530747192262864,-0.028966332963522013,0.4648447864154948,1.6934900465514328e-05,False,-0.10056823683473183,-0.053160147364495716,-0.018272022317994602,0.022699724870457533,0.05064313187072154,-0.25667587251652074,-0.002537224176816858
AEC,2139,7.205037029663066,7.281024325134182,-0.07598729547111716,-1.0546412899514355,-0.14464788946601573,-0.00911305187090356,0.514726507713885,0.18004979250586453,False,-0.02332665735678849,0.03745344630881739,0.07196421124233597,0.04078982954887396,-0.08839078313406386,-0.3686244433149995,-0.20641469461139159
TEPC,3763,6.6472610284058495,6.76460274902286,-0.1173417206170104,-1.765264221091546,-0.14403122989798922,-0.09197484124976837,0.47967047568429444,0.01320691054575549,False,-0.05576960225007443,-0.015015204689656586,0.005170012704236675,0.05738580449483616,0.11520227858685275,-0.48217689740342146,-0.4452080251261936
AECI,3834,6.455488717434244,6.579166693802419,-0.12367797636817443,-1.9158576799020517,-0.15829222124802322,-0.08873234848151128,0.486697965571205,0.10284512769589575,False,-0.06323976993295118,0.004190728306459467,0.022109451298735053,0.05152568010549168,0.009388719215759907,-0.36231860639861885,-0.5252681879174329
SC,3692,5.531862570264441,5.643149717830073,-0.11128714756563156,-2.0117482340186132,-0.1437363072298509,-0.07991783336909059,0.4703332430235708,0.0003316586964615962,False,-0.13216615367640497,-0.02821126275042254,-0.01204345322002153,0.015717283161776903,0.02570596511169545,-0.24722879842844345,-0.4115959260062737
