ba,days,G3_w2_mean,BEST_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
GCPD,3366,1.81102620341998,1.608366441609823,0.202659761810157,11.190327419197471,0.17821700601443546,0.22596521758196375,0.6148542776559073,9.940028992044627e-39,True,0.18463265467257178,0.19370231846217134,0.16540065021201972,0.18956528414662416,0.11209477220718468,0.2645144949447893,0.3354012704151474
SCEG,3326,4.392420457623596,3.90664560891341,0.48577484871018745,11.059388630864433,0.4150332838827243,0.554105578930865,0.598136645962733,6.715615102428622e-29,True,0.3673109939773704,0.5751470692707862,0.4503228669473628,0.33340706754815275,0.36260101079820034,0.6352044652647836,0.7258079150080539
MISO,3354,2.141745616910632,1.9084196243965341,0.23332599251409836,10.894197269359196,0.19986211998674241,0.26943015439402124,0.5677519379844961,1.481694008966995e-14,True,0.29755569485567274,0.23442590717437545,0.10893377913381103,0.12348956418827697,0.19578277549158338,0.3342582382600848,0.38390056123213245
TPWR,3370,2.819589731819738,2.5187129809231106,0.3008767508966282,10.670940793306302,0.2636330858634506,0.33987855504322867,0.6107109301597244,4.20248498152764e-36,True,0.2834521335630318,0.24575570439992672,0.2601436637267419,0.25060712569855775,0.23944599680391762,0.35086535143961445,0.5142387948337563
NWMT,3353,2.202490699043494,1.9749662597290276,0.22752443931446595,10.330324637160835,0.1931529555346538,0.26358525438424824,0.5837515683814304,3.0246061020179226e-21,True,0.2517254556835901,0.23778607172694619,0.16730212194617203,0.12604685926353595,0.10636810750359123,0.3707112643018109,0.37665715249139653
PSCO,3342,3.2407050087035603,2.9063660169342778,0.33433899176928256,10.316859784255229,0.28211781988277573,0.38189413562721874,0.5827044025157233,1.048515029898699e-20,True,0.41245992243636564,0.3189088925746914,0.22833580456628977,0.23796732783242294,0.2725247305019914,0.4866739999186336,0.4277357196359875
PACW,3155,3.225615282527298,2.9270496075032004,0.2985656750240976,9.25608446368002,0.24311741770147585,0.35706203781057405,0.5716158636512619,2.642192924278787e-15,True,0.4675525696805717,0.2710632146401225,0.23376136540039952,0.19805660494550148,0.13306440024686916,0.37255183633762995,0.4790678345782399
AZPS,3365,3.91173333856764,3.5671071171596087,0.34462622140803173,8.810064275348164,0.2735373992701972,0.4185217883534178,0.5608317815021726,5.324303918886572e-12,True,0.399751165488025,0.4269504192264771,0.29994848041293615,0.1322106796155081,0.040332466461802594,0.6019852718910809,0.5755142375494261
PSEI,2801,2.890083629605811,2.6489119798513694,0.2411716497544417,8.344798305623286,0.19853057263085597,0.2866040121211095,0.5816831683168316,8.944640902989574e-16,True,0.33786284486788304,0.2551134058151759,0.1688245968276746,0.11193900260914869,0.19486196023245986,0.33376700989390473,0.33156847553115754
PACE,3189,2.595077529838236,2.3854278324973808,0.20964969734085462,8.078745044427366,0.17239873069106212,0.24788574910377464,0.5713821138211382,2.535644179916754e-15,True,0.2293121827244384,0.16800599091266327,0.12326841078746677,0.21025214752278115,0.13645401152083583,0.3159598365096594,0.3220728662563262
IPCO,3357,2.925980256182476,2.70517119108446,0.22080906509801662,7.5464988060482,0.169384922789594,0.2730010310284671,0.573888541014402,6.884226606031763e-17,True,0.31578911449246233,0.15969195752554924,0.16434074500797222,0.15103870503859973,0.17464660137113064,0.22801050003064,0.3934461845411507
SCL,3336,2.296303491609577,2.1442797214779334,0.15202377013164314,6.620369245054938,0.1259546318814448,0.17652321582670358,0.5850727387729285,1.0412956519573982e-21,True,0.1368818761581117,0.09367108129726805,0.08962075231575209,0.1048506295058411,0.1604442772027675,0.23164450615158508,0.28024385928686635
NYIS,3400,2.3633487072217294,2.216864761045268,0.146483946176462,6.1981520428554715,0.11213583790997779,0.17905837481542905,0.5627139744786803,1.237217932201847e-12,True,0.19147533449059057,0.06199305739681945,0.024683611767615802,0.11565357051844002,0.10769813245304251,0.268212218795391,0.2923382460946722
ISNE,3380,3.55533339405166,3.3569701674631305,0.19836322658852867,5.579314359671733,0.15378500649191118,0.24216936450267043,0.5639121015165584,3.9324088552677696e-13,True,0.2747679792552655,0.0959035339307899,0.1093400931187233,0.1314369174600799,0.1740807535521655,0.30959390880119253,0.3362367784192422
TEPC,3274,5.660286123140526,5.537806419141357,0.12247970399916998,2.1638429813370266,0.04032141056249461,0.2097827413765025,0.5391527599486521,1.3289472402280687e-05,False,0.169177051904925,0.017657911022034723,-0.053285308444331714,-0.16386778317996778,0.02454269037704601,0.3794529978520047,0.6096582555204925
WACM,3307,2.8675741778619157,2.8244220519455134,0.043152125916402155,1.5048303283501003,0.005462220400409422,0.0815541704643581,0.5170003177629489,0.05880147238903117,False,-0.005195864786989052,-0.01506892662419843,0.01685349821757343,0.009626204176440622,0.015150930838521256,0.08799407222111143,0.22149980557750837
LDWP,3275,3.6501174430467334,3.6035383444577813,0.04657909858895232,1.2760986273930133,-0.007114337190586461,0.09902053960418986,0.5118110236220472,0.18907763228769803,False,0.052057063322034594,0.00036916879345501275,0.02536212026690881,-0.11510521135241425,-0.07637748814438157,0.3249137715407526,0.19427814169538818
CISO,3301,2.8171398034776005,3.028483903407676,-0.21134409993007547,-7.502080644673121,-0.26077156707172594,-0.1625006623412106,0.4306683322923173,4.46507123679606e-15,False,-0.09078996155508401,-0.2961274520121952,-0.3028500395151334,-0.33707345742997513,-0.34299055759571956,-0.0018678411607914443,-0.024552327246847038
WALC,3292,4.219211247747891,5.060598097186035,-0.8413868494381441,-19.94180428598486,-0.922395573573565,-0.760828101579942,0.3549206349206349,2.474892568588532e-60,False,-0.8317216066408515,-0.8722732033278574,-0.9591947119160037,-1.0077369455862444,-1.0635881875493105,-0.3488075344673914,-0.7288995096622254
