ba,days,G3R_w8_mean,G3T_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
TEC,3388,4.438461594756612,4.637333674838118,-0.19887208008150534,-4.480653393879613,-0.24915992509003662,-0.15103916939732992,0.4211143695014663,7.843027895331435e-11,False,-0.18727019087447122,-0.22278840253953133,-0.1293129516821754,-0.36135727715620114,-0.28599521425862207,-0.10126407840207058,-0.09289159161137689
PSEI,2719,2.820466055179595,2.955267655617737,-0.1348016004381419,-4.779408714761446,-0.17063072242902075,-0.09865838643463701,0.47319544111439427,0.009618322347313382,False,-0.2537964677106413,-0.10027079574706875,-0.16573741931434866,-0.19980197166418479,-0.1601949100511988,-0.051808958434703775,0.023459752875626235
SCEG,3260,3.9822213248578664,4.181135524907773,-0.19891420004990681,-4.995056372388003,-0.24755362072990608,-0.1506258451298102,0.42105263157894735,7.064943633097335e-13,False,-0.2375893271673633,-0.15991249867308963,-0.22853603275149165,-0.25693509733872505,-0.23078797799985065,-0.041105506095014836,-0.21982263762483448
ERCO,3272,3.0729823069171394,3.2272453070605835,-0.1542630001434443,-5.019976841266073,-0.2011815848244534,-0.10327598914500169,0.4902615470228158,0.4225280576460462,False,-0.0805901137566489,-0.25199048204502505,-0.165688402166871,-0.20732851039214964,-0.23356901438280592,-0.094034295238837,-0.0001855581510017396
JEA,3310,4.648709533191158,4.899457459523937,-0.2507479263327788,-5.393925444093086,-0.30964190075522585,-0.192658896147318,0.4521484375,1.6176826261079666e-05,False,-0.4259666102833532,-0.17363229208937384,-0.14849160552746396,-0.2655661404588741,-0.2893163975750277,-0.3297548530170937,-0.1388720421857962
TPWR,3208,2.7229127205948505,2.8799257192583294,-0.15701299866347904,-5.766361788826555,-0.1905137102323889,-0.12282117274958942,0.479108635097493,0.026366294640044006,False,-0.2632790284569915,-0.1830114131781926,-0.19001296779319723,-0.21955212818294537,-0.15562593813892198,-0.01944224353903599,-0.016638202542066206
BPAT,3223,2.3968988511767435,2.548915968518667,-0.1520171173419237,-6.342241653930944,-0.17788919750568843,-0.126462398121633,0.4148975791433892,1.1313645410811486e-18,False,-0.3095200887599812,-0.13246875303524455,-0.16480567070815466,-0.20855343820569328,-0.15731545493377122,-0.07832378361165712,0.018884888172251806
FPC,3382,4.726261754094735,5.043310971912768,-0.3170492178180328,-6.70824500025518,-0.38362278295702956,-0.25416921843606416,0.3686635944700461,9.502908073176312e-25,False,-0.27123716331714764,-0.30515175856511895,-0.3212253185736987,-0.5479942989821678,-0.5470626313162906,-0.10954797309460287,-0.07527205079152809
DUK,3257,4.089372471676357,4.395087265671299,-0.30571479399494245,-7.4758363566139225,-0.365546452800267,-0.24794426252777085,0.412082957619477,1.2226518687156933e-16,False,-0.3940091525786096,-0.312294438422653,-0.43299953679969033,-0.2709664586750658,-0.2554633393868495,-0.20887633456808852,-0.24143052100721496
SOCO,3210,3.513718243482068,3.796012343959094,-0.28229410047702547,-8.034056259367972,-0.33391888395076913,-0.22717749497331133,0.4327603640040445,2.414185129339504e-09,False,-0.3340159771498815,-0.32851148750885867,-0.41638166908951574,-0.24544181461971382,-0.20061206880127927,-0.159025239365296,-0.2707191089597134
CPLE,3237,4.897936136074846,5.306815093523448,-0.40887895744860225,-8.347984663113095,-0.4886080072515188,-0.33236322770399146,0.4574806730331969,7.227940262757984e-05,False,-0.65268868121319,-0.3662899359930295,-0.6053935241437679,-0.41483630914904884,-0.3016851306183208,-0.16947635554063073,-0.30501732293339473
AECI,3238,4.971026198738108,5.410116713966237,-0.4390905152281288,-8.832995395188053,-0.5149744052361759,-0.3640461255955555,0.4219858156028369,1.3150037304579104e-13,False,-0.4601662340073918,-0.42292772336068396,-0.6166494927946212,-0.5378164442897838,-0.5147521502724255,-0.29409600817892345,-0.14530637381820574
LGEE,3225,3.8498376153766385,4.2020478456555015,-0.3522102302788634,-9.148703541990974,-0.4055705509157693,-0.3015371599402687,0.3811230585424134,6.456495718809082e-33,False,-0.42670085189671364,-0.32761001045840826,-0.4111282831757524,-0.45614718584503333,-0.2672994635693234,-0.2555324492287023,-0.2956657215590244
TVA,3217,3.8596406871975892,4.234093412537581,-0.3744527253399915,-9.701750906037693,-0.438730822550958,-0.3100274878592822,0.4205312922107159,7.176725419380501e-14,False,-0.45082532773893,-0.4166935733662616,-0.5127945469859866,-0.35104466543885815,-0.2836932635846431,-0.3382411114113993,-0.22943667223162462
AEC,1984,5.409647983232526,5.945542631863095,-0.5358946486305672,-9.906275792650455,-0.651257329560716,-0.42485384460350173,0.4230769230769231,8.341932682263024e-08,False,-0.5949897043565656,-0.2840940737598168,-0.7658643591404821,-0.5703082966224264,-0.5324138207561204,-0.5086657408501669,-0.48831190386555484
SC,3157,4.374931112029535,4.812031982665568,-0.4371008706360321,-9.991034360156142,-0.5067507944734891,-0.3698613453333201,0.33461117196056955,4.8719037249295246e-46,False,-0.6177080123401119,-0.36594269860328893,-0.42229477065357984,-0.4602475132904509,-0.4907189134900458,-0.5134555336767483,-0.16360159126648324
CPLW,3223,4.441769644561297,4.900179117940455,-0.4584094733791584,-10.320424291711202,-0.5281779826155735,-0.38843678259491626,0.43418940609951845,5.390642950538382e-11,False,-0.5815399188152403,-0.4872824226817779,-0.5544162433406027,-0.537421441135465,-0.25724030062295744,-0.24506477889574793,-0.5318111045403932
