ba,days,G3_w2_mean,R2A1_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
AEC,2096,6.531785319437126,6.286498056858485,0.2452872625786422,3.7552866572133414,0.12075051925685269,0.367024049606059,0.5536117381489842,6.993294456173521e-06,False,0.3191078938646993,0.0718019655316248,0.02755485484036695,0.0932977140454465,0.05841173614803424,0.6617781252919921,0.555841502121149
SRP,3661,3.918505933604748,3.7718594523355184,0.1466464812692303,3.742408044137525,0.08715935636187445,0.20548579055659094,0.5332739156268568,0.00012055344136350939,False,0.15652825905015283,0.049130115906865196,-0.01951456323080087,-0.03209359878605394,-0.08282218532029029,0.5159256785259604,0.49567664239477977
PSCO,3756,3.41171821748323,3.3020687535298303,0.1096494639534007,3.2139073910472993,0.07275103644729117,0.14678629677759564,0.5466434176111595,4.788961305614652e-08,False,0.15073604887572198,0.04865821986537538,0.030823549762718436,-0.01590156083342663,-0.011182545247207909,0.33586985907046857,0.25348499107402855
PACE,3588,2.654134584455314,2.5699233872226475,0.0842111972326665,3.1728307119719203,0.051700217681784205,0.11430499013935626,0.5407560543414058,2.2625323399897314e-06,False,0.10221812372021952,0.01880028428917786,-0.005067686495475987,0.04492528790140147,-0.03370657762160707,0.23491653649571156,0.26174080800643573
NEVP,3712,2.881142262728833,2.8116308254853313,0.06951143724350162,2.412634674195673,0.02892076793499232,0.11301532264685175,0.5278506853310003,0.0011727871123621127,False,0.11189254097230802,0.016597311629328204,-0.05898306924508978,-0.10790500890664868,-0.10379611801985618,0.3061218998544953,0.3627738366741131
PACW,3555,3.284503638977187,3.2113682554999334,0.0731353834772536,2.226679934506888,0.027078268499683818,0.11690124361242728,0.5344622697563874,6.80387798431545e-05,False,0.2116609011700557,-0.06425408640556375,-0.066471219062157,-0.028711174549745644,-0.09277253756145266,0.26646078729139294,0.3466049878988909
IPCO,3784,3.0223215688326346,3.0142999308446994,0.008021637987934841,0.26541312051825056,-0.03194019355268303,0.04905303176008348,0.5310603871713377,0.00027406423327901,False,0.06205121371521557,-0.1124768844644608,-0.10589846069529271,-0.057734230548906224,-0.060239545245743875,0.16129742893133706,0.19369707573349698
AZPS,3773,3.9825247580291516,3.978290959762234,0.004233798266918264,0.10630940230522161,-0.05926517157628166,0.06554953440382268,0.5043453070683661,0.6216051433653622,False,0.11736465945582389,-0.09823986154928928,-0.13934745507938,-0.23094165910233866,-0.25479029545834647,0.35331083807079605,0.3240499387479087
LDWP,3726,3.813744028007481,3.8300926108404316,-0.016348582832950664,-0.4286754095946,-0.06272817348159818,0.030831471305309593,0.4926600117439812,0.40113466338750314,False,-0.04671317889968576,-0.07040674106802071,-0.14396515329631526,-0.260219044846541,-0.2307673900267305,0.3898646743016834,0.3000406577177194
TEPC,3687,5.566147235361736,5.63641673127286,-0.07026949591112515,-1.262444073787754,-0.14778990250318116,0.00760646634628377,0.5004433934377771,0.9725701902396301,False,0.03284526404089566,-0.17378668520111817,-0.34482722183828335,-0.41289896183769637,-0.22143094292229243,0.22113601376600708,0.4954167762987186
WACM,3623,2.9026440499330217,2.9646513947447404,-0.06200734481171903,-2.13623660858967,-0.09738324926983864,-0.02568989511104291,0.4916691911541957,0.34728210789964364,False,-0.10734307328859398,-0.12217534078576156,-0.10462652815309943,-0.1191867033042202,-0.137738234249223,0.01877797118012335,0.1538699580256129
CISO,3749,2.846334827746111,3.1685563389351064,-0.3222215111889955,-11.320576484817451,-0.3674562541114968,-0.27816045464951455,0.39451415231981324,3.379329521064851e-35,False,-0.1760690173020985,-0.3999778973947779,-0.49669400459848895,-0.5207730969992812,-0.49944956004068947,-0.026144445170983785,-0.08923946535465563
WALC,3699,4.618594583464372,5.57761238580185,-0.9590178023374784,-20.764277639154173,-1.0346201406584925,-0.880875595461819,0.3269287614543305,7.75347221543354e-92,False,-0.9136395374920484,-0.9999911756430409,-1.170907590590493,-1.1869341618093006,-1.238400940963268,-0.43946801932245716,-0.7297589552700184
